id;unit_name
1;GHz
2;MHz
3;GB
4;MB
5;TB
6;W
7;V
8;A
9;RPM
10;Hz
11;dB
12;lux
13;bit
14;GB/s
15;ms
16;mm
17;ns
18;MB/s
19;CFM
20;Cores
21;Version
22;Type
23;Yes/No
24;Air/Water
25;80+
26;N/A
27;DDR3
28;DDR4
29;DDR5
30;AM3
31;AM4
32;AM5
33;LGA1151
34;LGA1200
35;LGA1700
36;ATX
37;mATX
38;ITX
39;nm
40;DPI
41;Hour
42;g
43;Pcs
44;CL
45;inch
46;cd/m2
47;Material
48;N/A
49;x
50;Mbps
50;Ohm
51;fps
52;Tower
53;Black
54;White
55;Color
56;-
57;Full
58;Cooled
59;RPM
60;RGB
61;4 pin
62;Year
63;Graphite
64;Wireless
65;mAh
66;°
67;kHz
68;Ω
69;Teszt
70;m
71;kg
72;W/mK
73;pixel
74;Pin
